Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb) ,Zn (ppb),Cr_level,alr.Al (ppb)_Zn (ppb),alr.As (ppb)_Zn (ppb),alr.Ba (ppb)_Zn (ppb),alr.Ca (ppb)_Zn (ppb),alr.Cl (ppb)_Zn (ppb),alr.Cr (ppb)_Zn (ppb),alr.Cu (ppb)_Zn (ppb),alr.F (ppb)_Zn (ppb),alr.Fe (ppb)_Zn (ppb),alr.K (ppb)_Zn (ppb),alr.Mg (ppb)_Zn (ppb),alr.Mn (ppb)_Zn (ppb),alr.Mo (ppb)_Zn (ppb),alr.Ni (ppb)_Zn (ppb),alr.NO3 (ppb)_Zn (ppb),alr.Pb (ppb)_Zn (ppb),alr.Se (ppb)_Zn (ppb),alr.SO4 (ppb)_Zn (ppb),alr.Sr (ppb)_Zn (ppb),alr.U (ppb)_Zn (ppb),alr.V (ppb) _Zn (ppb),alr.Al (ppb)_U (ppb),alr.As (ppb)_U (ppb),alr.Ba (ppb)_U (ppb),alr.Ca (ppb)_U (ppb),alr.Cl (ppb)_U (ppb),alr.Cr (ppb)_U (ppb),alr.Cu (ppb)_U (ppb),alr.F (ppb)_U (ppb),alr.Fe (ppb)_U (ppb),alr.K (ppb)_U (ppb),alr.Mg (ppb)_U (ppb),alr.Mn (ppb)_U (ppb),alr.Mo (ppb)_U (ppb),alr.Ni (ppb)_U (ppb),alr.NO3 (ppb)_U (ppb),alr.Pb (ppb)_U (ppb),alr.Se (ppb)_U (ppb),alr.SO4 (ppb)_U (ppb),alr.Sr (ppb)_U (ppb),alr.V (ppb) _U (ppb),alr.Zn (ppb)_U (ppb)
36.98266667,-120.8279444,USGS,DM-13,DM-13,DM-13,17,1.7,46.3,87800,264000,0.6,5,170,61.3,2920,43200,237,4.13,0.53,40,0.15,0.2,334000,1850,0.080956,0.52,14,Group 0,0.194156014,-2.108429079,1.196084631,8.74375945,9.844647053,-3.149882953,-1.029619417,2.496741107,1.476722513,5.340281566,8.034538445,2.829002812,-1.220779923,-3.273935602,1.049822124,-4.536177315,-4.248495242,10.07983894,4.883883588,-5.152906811,-3.292983797,5.347062826,3.044477733,6.348991443,13.89666626,14.99755386,2.003023858,4.123287394,7.649647919,6.629629325,10.49318838,13.18744526,7.981909623,3.932126889,1.878971209,6.202728936,0.616729497,0.904411569,15.23274575,10.0367904,1.859923014,5.152906811
37.01133333,-120.6565278,USGS,DM-16,DM-16,DM-16,10.2,5,346,76200,535000,0.36,3,130,82.5,2980,39900,872,7.08,0.76,40,1.06,0.12,84200,1060,0.98272,3.3,8.4,Group 0,0.194156014,-0.518793793,3.718207069,9.112885036,11.06179032,-3.149882953,-1.029619417,2.739302745,2.284566587,5.871446874,8.465899897,4.642557718,-0.170957798,-2.402668552,1.560647748,-2.069962798,-4.248495242,9.212718494,4.837792481,-2.145662748,-0.934309237,2.339818762,1.626868954,5.863869817,11.25854778,13.20745307,-1.004220206,1.11604333,4.884965492,4.430229335,8.017109621,10.61156264,6.788220466,1.974704949,-0.257005804,3.706310496,0.07569995,-2.102832494,11.35838124,6.983455229,1.21135351,2.145662748
36.89252778,-120.56375,USGS,DM-22,DM-22,DM-22,6.8,9.3,31,310000,1050000,0.32,2,120,187,8170,135000,3190,11,3.8,40,0.06,0.09,1000000,4090,4.1144,3.9,2.9,Group 0,0.852211875,1.165303663,2.369276467,11.57961684,12.79958999,-2.20414502,-0.371563556,3.722781006,4.16639788,7.943513451,10.74831932,7.003065459,1.333184536,0.27029033,2.624168717,-3.878121454,-3.472656346,12.75079982,7.251589512,0.349782278,0.296265816,0.502429597,0.815521385,2.019494189,11.22983456,12.44980771,-2.553927299,-0.721345835,3.372998727,3.816615601,7.593731172,10.39853704,6.65328318,0.983402257,-0.079491949,2.274386439,-4.227903732,-3.822438624,12.40101754,6.901807234,-0.053516462,-0.349782278
36.98552778,-120.5830556,USGS,DM-24,DM-24,DM-24,3.4,3.7,127,101000,390000,0.12,1,90,1160,4080,57100,2680,3.04,1.9,40,0.059,0.04,213000,1300,0.46324,1.2,4.7,Group 0,-0.323787077,-0.239229689,3.296624578,9.975313287,11.32633951,-3.667826045,-1.547562509,2.952247162,5.508612775,6.766289759,9.404996887,6.346009565,-0.435704993,-0.905708623,2.141316945,-4.377780344,-4.766438334,10.72148494,5.622557035,-2.317072509,-1.365240952,1.993285432,2.07784282,5.613697087,12.2923858,13.64341202,-1.350753536,0.769510001,5.269319671,7.825685285,9.083362268,11.7220694,8.663082074,1.881367516,1.411363887,4.458389455,-2.060707834,-2.449365824,13.03855745,7.939629544,0.951831557,2.317072509
37.08430556,-120.7079167,USGS,DM-25,DM-25,DM-25,3.4,7.6,57.4,35800,149000,0.07,1,150,270,1580,18200,617,9.33,0.42,40,0.179,0.04,77400,413,1.6132,0.81,2,Group 0,0.530628251,1.335001067,3.356897123,9.792555992,11.2185544,-3.352407217,-0.693147181,4.317488114,4.905274778,6.672032945,9.116029693,5.731721843,1.540087834,-1.560647748,2.995732274,-2.413516654,-3.912023005,10.56359488,5.330300412,-0.214927397,-0.903868212,0.745555648,1.549928463,3.571824519,10.00748339,11.4334818,-3.137479821,-0.478219784,4.53241551,5.120202175,6.886960342,9.330957089,5.94664924,1.755015231,-1.345720352,3.21065967,-2.198589257,-3.697095609,10.77852228,5.545227809,-0.688940815,0.214927397
37.10138889,-120.8206111,USGS,DM-27,DM-27,DM-27,12.5,6.1,17.2,51700,297000,0.6,1.6,220,63.2,2800,46000,709,25.1,0.4,40,0.08,0.05,610000,1150,0.59644,2.8,5.6,Group 0,0.802962047,0.085522173,1.122142786,9.130446463,10.87872082,-2.233592222,-1.252762968,3.670860949,2.423537703,6.214608098,9.013630078,4.841088929,1.500101248,-2.63905733,1.966112856,-4.248495242,-4.718498871,11.59844764,5.324750624,-2.239543227,-0.693147181,3.042505274,2.3250654,3.361686013,11.36998969,13.11826405,0.005951005,0.986780259,5.910404176,4.66308093,8.454151325,11.2531733,7.080632156,3.739644475,-0.399514103,4.205656083,-2.008952015,-2.478955644,13.83799087,7.564293851,1.546396046,2.239543227
37.10138889,-120.8206111,USGS,DM-27,DM-27,DM-27,3.4,7.9,19.2,82500,473000,0.24,2,170,918,3270,18400,363,47.7,0.65,39,0.06,0.14,729000,643,0.3848,0.35,4,Group 0,-0.162518929,0.680568398,1.568615918,9.934259211,11.68055631,-2.813410717,-0.693147181,3.749504076,5.43590303,6.706250903,8.433811582,4.508108473,2.478637037,-1.817077277,2.277267285,-4.199705078,-3.352407217,12.11313465,5.079850363,-2.341325921,-2.436116486,2.178806992,3.02189432,3.909941839,12.27558513,14.02188223,-0.472084795,1.648178741,6.090829997,7.777228951,9.047576824,10.7751375,6.849434394,4.819962958,0.524248644,4.618593206,-1.858379157,-1.011081296,14.45446057,7.421176284,-0.094790564,2.341325921
37.16080556,-120.7579444,USGS,DM-29,DM-29,DM-29,3.4,15.6,223,114000,235000,0.12,2,130,11200,3310,42300,4750,2.95,1.7,38,0.027,0.09,216000,1000,0.90428,0.4,1.7,Group 0,0.693147181,2.216642663,4.87654352,11.11332548,11.83671254,-2.650891787,0.162518929,4.336906199,8.793040806,7.574075217,10.12191411,7.935271646,0.551176919,<NaN,3.106957909,-4.142546664,-2.93857386,11.75240544,6.377127028,-0.631244483,-1.446918983,1.324391664,2.847887146,5.507788003,11.74456996,12.46795703,-2.019647304,0.793763413,4.968150682,9.424285289,8.2053197,10.7531586,8.566516129,1.182421402,0.631244483,3.738202392,-3.511302181,-2.307329377,12.38364992,7.008371511,-0.8156745,0.631244483
37.10355552,-120.8343608,USGS,DM-U-01,DM-U-01,DM-U-01,3.4,13.4,66.2,85700,194000,0.12,1,180,122,2150,54100,335,3.73,0.52,40,0.025,0.04,264000,1460,13.024,0.4,9.4,Group 0,-1.016934258,0.354545018,1.951970774,9.117898415,9.934903749,-4.360973225,-2.240709689,2.952247162,2.563311355,5.432513432,8.657879776,3.573420843,-0.924301456,-2.894636157,1.448169765,-5.929589143,-5.459585514,10.24299469,5.045482025,0.32608412,-3.157000421,-1.343018378,0.028460898,1.625886654,8.791814295,9.608819629,-4.687057345,-2.566793809,2.626163042,2.237227235,5.106429312,8.331795656,3.247336723,-1.250385576,-3.220720277,1.122085645,-6.255673263,-5.785669634,9.916910573,4.719397905,-3.483084541,-0.32608412
37.01728056,-120.8999278,USGS,DM-U-04,DM-U-04,DM-U-04,2.6,5.1,68.7,46600,63100,0.95,1,240,6,2600,28000,3.98,1.35,0.55,1980,0.017,0.61,75100,605,1.11,6.2,2.8,Group 0,-0.074107972,0.599621123,3.200129782,9.719736403,10.02285663,-1.080912712,-1.029619417,4.451019506,0.762140052,6.833647307,9.210340372,0.351662402,-0.729514825,-1.627456418,6.561232707,-5.104161352,-1.523915739,10.19695642,5.375609041,-0.925259402,0.794929875,0.85115143,1.524880524,4.125389184,10.6449958,10.94811603,-0.15565331,-0.104360015,5.376278908,1.687399454,7.758906709,10.13559977,1.276921804,0.195744577,-0.702197016,7.486492108,-4.17890195,-0.598656337,11.12221582,6.300868443,1.720189277,0.925259402
